,movieCd,movieNm,movieNmEn,openDt,typeNm,showTm,nations,actors,companys,audits,directors,genres
0,20113306,50/50,,20111124,장편,100,미국,10066016|10036150,20100520,2011-F629 |15세이상관람가,10065325,코미디|드라마
2,20124075,내가 살인범이다,Confession of Murder,20121108,장편,119,한국,10062184|10028886|10072552|10004995|20143510|20179371|20179373|10002334|20110564|20142155|20140109|10003544|20157565|20161617|20125249|20150887|20132408|10056832|20150606|20142388|20144776|20162282|20153078|20154036|20136191|20232246|20190646|10072934|10060043|10066805|20328214|10030398|20341054|20187990|20345873|20335401|10007583|20156820|20347092,20100103,2012-F793 |청소년관람불가,10061761,액션|스릴러
3,20184721,시카리오: 데이 오브 솔다도,Sicario: Day of the Soldado,20180627,장편,122,미국,10066274|10030723|10055781|10074917,20100084,2018-MF01089|15세이상관람가,10038588,액션|범죄|드라마
4,20090590,청담보살,Fortune Salon,20091111,장편,119,한국,10058849|10028965|20133615|10029246|20141933|20147195|20150197|10058197|20151661|20154260|20158473|20162127|20164807|10035492|10029579|20111927|10047116|20113258|10029573|10006545|10061749|10003728|20346232,20100932,2009-F369|15세이상관람가,10005932,멜로/로맨스|코미디
5,20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,20181206,장편,99,미국,10078551|10064953|10088888|10026087|10025154,20161801,2018-MF02136|전체관람가,10013865|10065132,판타지|드라마
6,20040748,폴라 익스프레스,The Polar Express,20041223,장편,100,미국,10081113|10007922,20100043,2004-F331|전체관람가,10016924,애니메이션
7,20070545,열한번째 엄마,My 11th Mother,20071129,장편,106,한국,10006380|10005025|10019065|10005840|20112982|10072192|10040306|20069196|10089421|20354652,20100103,2007-F471 |12세이상관람가,20064125,드라마
8,20060375,샬롯의 거미줄,Charlotte`S Web,20070208,장편,113,미국,10069410|10009990,20100603,2007-FMV74|전체관람가,10001205,드라마|코미디|가족
9,20080054,주노,Juno,20080221,장편,95,미국|캐나다,10049235|10023175,20103809,2008-F43|12세이상관람가,10063620,드라마|코미디
10,20196670,나쁜 녀석들: 포에버,Bad Boys for Life,20200115,장편,123,미국,10052967|10024676|10028008,20173221,2020-MF00002|청소년관람불가,10090529|10023579,액션
11,20119337,그대를 사랑합니다,Late Blossom,20110217,장편,118,한국,10056199|10054357|10037206|10004748|20066637|10050151|20132901|20143847|20151333|10057698|10013826|10053760|10066926|10061276|20113258|20328214|10006228|20199569|20346194|10002376,20100932,2011-F45|15세이상관람가,10072983,드라마
12,20156166,나를 미치게 하는 여자,Trainwreck,20151210,장편,124,미국,10048819|10033613,20100603,2015-MF00681|청소년관람불가,10068897,코미디|멜로/로맨스
13,20112209,언피니시드,The Debt,20111006,장편,113,미국,10088888|10035005,20100603,2011-F369|15세이상관람가,10067817,드라마|스릴러
14,19818004,불의 전차,Chariots Of Fire,20160616,장편,123,영국,10008750|10007038|10031189,20139842|20125875,2016-MF00752|12세이상관람가,10090825,드라마
15,20197691,잃어버린 세계를 찾아서,Missing Link,20191009,장편,94,미국,10090817|10065071|10059374|10049649,20142048,2019-MF02048|전체관람가,20167240,애니메이션|어드벤처
16,20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,20190214,장편,115,일본,10079345|10046583|10000070,20110854,2019-MF00001|12세이상관람가,20115431,애니메이션|미스터리
17,20205284,매지컬: 공주를 웃겨라,,20200917,장편,81,한국,20137223|20113125|10060043|20362552|10055694|20306609|10052537|20327592|10030218|10034239|20308129|20188001|20312032,20155508,2020-MF02062|전체관람가,20356247,애니메이션
